Domain	DA	Traffic	Region	Price	Overview	Category
re-thinkingthefuture.com	54	215.1K	California	130	Excellent Reputable	Architecture
illustrarch.com	22	26.5K	California	135	Very Good Healthy	Architecture
https://earthbuddies.net/	33	822	California	$75.50	Good Healthy	Ecology & Environment
https://usawire.com/	56	9.1K	-	$ 45.00	Very Good Healthy	Advertising & Marketing
miamilivingmagazine.com	35	14.4K	Virginia	300	Very Good Healthy	Advertising & Marketing
tomoson.com	51	8.2K	California	$312	Very Good Reputable	Advertising & Marketing
https://www.socialmediatoday.com/	84	106K	San Francisco	$850	Excellent Reputable	Advertising & Marketing
http://thecuriouslycreative.com	46	6K	North Carolina	$100	Good Healthy	Crafts
https://exploringthenorth.com/	51	10K	Arizona	$100	Good Healthy	Travel & Tourism
https://www.exploratoryglory.com/	18	4.9K	New York	$ 30.00	Good Reputable	Travel & Tourism
https://www.retireearlylifestyle.com/	42	2.5K	Virginia	108	Good Moderate	Travel & Tourism
https://cultmtl.com/	52	62.7K	Texas	$ 1,000.00	Good Healthy	Mass Media
Apnews.com	92	39.1M		$79	Industry leader Reputable	Mass Media
1883magazine.com	52	43K	California	80	Good Reputable	Mass Media
Laprogressive.com	66	12.1K	California	49	Good Reputable	Mass Media
Ventsmagazine.com	64	69.9K		$19	Good Reputable	Mass Media
Bignewsnetwork.com	66	45.8K	California	$40.79	Good Reputable	Mass Media
https://www.gigwise.com/	77	170K	California	$299.00	Good Healthy	Mass Media
https://kahawatungu.com/	49	26.6K	Arizona	$95	Good Reputable	Mass Media
thestripesblog.com	24	11K	California	$110	Good Healthy	Mass Media
theglobeandmail.com	92	4.3M	Ontario	$50	Very Good Reputable	Mass Media
https://ahouseinthehills.com/	54	3.5K	New Jersey	$196.00	Good Reputable	Mass Media
https://www.allmyfriendsaremodels.com/	38	4.8K	Virginia	$196.00	Good Reputable	Mass Media
http://www.prophecynewswatch.com/	46	10.4K	Florida	$62.50	Good Reputable	Mass Media
luxurylifestyle.com	32	4.1K	California	$95.00	Good Reputable	Mass Media
momooze.com	49	6K	California	$160.00	Good Reputable	Mass Media
http://urbansplatter.com/	46	55.3K	California	$50.00	Good Reputable	Mass Media
https://goodmenproject.com/	82	11.5K	California	$90	Good Reputable	Mass Media
https://fashionisers.com/	62	17K	Arizona	$150	Good Reputable	Mass Media
https://finance.yahoo.com/	93	521M	Virginia	$300	Industry Leader Reputable	Mass Media
https://www.harlemworldmagazine.com/	54	74.6K	Virginia	$140	Good Reputable	Mass Media
https://markets.businessinsider.com/	94	29.7M	Sweden	$260	Industry Leader Reputable	Mass Media
https://www.startmotionmedia.com	67	32.2K	Arizona	$80	Good Reputable	Mass Media
https://www.we-heart.com/	59	4.3K	California	$220	Good Healthy	Mass Media
https://beforeitsnews.com/	75	111K	California	$210	Good Reputable	Mass Media
https://researchsnipers.com/	74	8.7K	North Carolina	$180	Good Reputable	Mass Media
https://www.talkandroid.com/	76	13.5K	California	$210	Good Reputable	Mass Media
https://www.yahoo.com/	95	586M	Nebraska	$430	Industry Leader Reputable	Mass Media
https://www.washingtontimes.com/	88	363K	Virginia	$1,440	Very Good Reputable	Mass Media
http://www.techtimes.com	82	29.1K	Missouri	$990	Good Reputable	Mass Media
https://www.androidheadlines.com/	84	74.8K	California	$600	Good Reputable	Mass Media
https://thesource.com/	83	18K	Arizona	$770	Good Reputable	Mass Media
http://www.sciencetimes.com	64	4K	Missouri	$830	Good Reputable	Mass Media
https://bnonews.com/	68	24.7K	California	$160	Good Reputable	Mass Media
https://midhudsonnews.com/	59	55K	California	$492	Good Reputable	Mass Media
http://ourculturemag.com	59	70.5K	California	$260	Good Reputable	Mass Media
http://www.ilounge.com	82	26.5K	California	$200	Good Healthy	Consumer Electronics
https://vocal.media/	72	1M	California	$36.47	Excellent Reputable	Entertainment
avstarnews.com	54	16.9K	California	$100	Good Healthy	Entertainment
ultimatetango.com	23	8.3K	New York	500	Good Healthy	Entertainment
jerseyexpress.net	25	21K	California	$100	Good Reputable	Entertainment
https://www.thehypemagazine.com/	35	16.2K	Utah	300	Good Healthy	Entertainment
https://sosugary.com/	63	15.9K	Saxony	$80	Good Reputable	Entertainment
https://theactionelite.com/	53	90.6K	Jacksonville	$40	Good Reputable	Entertainment
nerdbot.com	50	35.8K	California	$30	Good Healthy	Entertainment
wealthybyte.com	54	9.1K	Michigan	$135	Good Reputable	Online Services
whatutalkingboutwillis.com	30	20.6K US/CAD	Washington	$220	Good Reputable	Online Services
https://somiibo.com/	29	2.7K	California	$121.00	Average Reputable	Online Services
https://newswatchtv.com/	48	408.9K	Missouri	$310.00	Good Reputable	Online Services
https://henof.com/	65	1.8K	California	$80	Average Healthy	Online Services
https://www.usatoday.com/	94	66.2M	Virginia	$490	Industry leader Healthy	Online Services
http://www.fundly.com	71	64.3K	California	$40	Good Reputable	Online Services
trans4mind.com	55	13.6K	MISSOURI	$30	Good Healthy	Online Services
hometownstation.com	64	31.4K	Virginia	250	Good Healthy	Newspapers
northiowatoday.com	42	3.6K	California	33	Average Healthy	Newspapers
granitegrok.com	55	1.4K	Texas	70	Average Healthy	Newspapers
theridgewoodblog.net	46	3.6K	Arizona	80	Average Healthy	Newspapers
freaktography.com	47	2K	Arizona	70	Average Healthy	Newspapers
https://www.herald-dispatch.com/	72	38.4K	New York	$130	Good Reputable	Newspapers
https://www.wvgazettemail.com/	73	88.2K	New Jersey	$130	Good Reputable	Newspapers
https://www.decaturdaily.com/	65	36.1K	New York	$130	Good Healthy	Newspapers
https://www.timesdaily.com/	66	118K	New York	$130	Good Reputable	Newspapers
https://dailyiowan.com/	72	28.3K	California	$240	Good Healthy	Newspapers
http://signalscv.com/	74	73.4K	California	$215	Good Healthy	Newspapers
https://breakingac.com/	41	17K	Virginia	$35	Good Healthy	Newspapers
http://www.ipsnews.net	83	14.7K	Alabama	$40	Good Healthy	Newspaper
https://seaislenews.com/	32	22K	California	$35	Good Healthy	Newspapers
https://www.portsmouth-dailytimes.com/	53	15.6K	Illinois	$130	Good Healthy	Newspapers
https://www.williamsondailynews.com/	52	3.3K	New York	$130	Average Reputable	Newspapers
https://northpennnow.com/	38	35.6K	California	$35	Good Reputable	Newspapers
https://greensboro.com/	77	81.5K	New York	$1,390	Good Healthy	Newspapers
https://vinnews.com/	48	111K	California	$371	Good Reputable	Newspapers
lakelandconnect.net	26	5.6K	Ontario	240	Average Healthy	Newspapers
https://amourvert.com/	52	34.5K	California	$170	Very Good Healthy	Apparel & Fashion
https://sammydvintage.com/	53	4.6K	California	$240	Good Healthy	Apparel & Fashion
shoebooties.com	17	7.1K	Georgia/Atlanta	$40	High traffic to backlink ratio Healthy	Retail
https://retail-insider.com/	55	63.6K	Quebec	$240	Very Good Reputable	Retail
Borkwoodblog.com	21	87.1K	North Carolina	$60.22	High traffic to backlink ratio Healthy	Retail
designmode24.com	29	8.5K	California	$170	Average Moderate	Retail
https://www.save.ca/	53	12.2K	New Jersey	$ 200.00	Good Healthy	Retail
mygardenandpatio.com	14	67.4K	Michigan	$ 150.00	Good Moderate	Retail
livingpristine.com	16	8.8K	Arizona	$ 110.00	Good Healthy	Retail
myinteriorpalace.com	28	8.2K	California	$ 180.00	Good Healthy	Retail
thebraggingmommy.com	36	8.3K	Utah	$100	Good Healthy	Retail
http://police-writers.com/	37	33.4K	Arizona	$34	Average Moderate	Government
https://durhampost.ca/	20	14K	Philadelphia	$200	Average Healthy	Government
thetraderchick.com	23	3.4K	District of Columbia	$127.50	Good Healthy	Distance Learning
worldwisetutoring.com	38	4.7K	California	$95.00	Good Healthy	Distance Learning
storytellershat.com	22	31.4K	Arizona	$31	High traffic to backlink ratio Healthy	Publishing
parkmagazineny.com	43	186K	Utah	$45	Very Good Healthy	Publishing
atmostfear-entertainment.com	35	3K	California	135	Average Healthy	Publishing
ottawalife.com	50	5.4K	Quebec	$250	Good Healthy	Publishing
https://www.justluxe.com/	73	32.9K	Michigan	$ 350.00	Good Moderate	Publishing
https://ocnjdaily.com	47	44K	San Francisco	$ 35.00	Good Moderate	Publishing
https://azbigmedia.com/	68	43.8K	Texas	$ 85.00	Veru Good Healthy	Publishing
https://www.elevatedmagazines.com/	24	1.7K	New York	$30	average Healthy	Publishing
http://resident.com/	49	61.8K	California	$120	Good Healthy	Publishing
https://impactwealth.org/	60	42.6K	California	$180	Good Healthy	Publishing
http://intelligenthq.com	50	28.1K	Saxony	$170	Good Healthy	Publishing
https://mashable.com/	93	15.8M	California	$470	Industry leader Healthy	Publishing
Hackerella.com	27	23.9K	Arizona	$28	High traffic to backlink ratio Moderate	Wellness
https://fabulousboobies.com/	20	3.6K	Atlanta	$ 45.00	Good Healthy	Wellness
https://anationofmoms.com/	68	3K	California	$ 70.00	Good Healthy	Wellness
orlaghclaire.com	25	11.6K	California	140	Good Reputable	Public Relations
lovelolablog.com	31	5.4K	California	$150	Good Healthy	Food & Beverages
https://www.japanesegreenteain.com/	35	8K	Ontario	235	Good Reputable	Food & Beverages
https://www.kellylynnssweetsandtreats.com/	30	2.3K	Utah	$95.00	Good Reputable	Food & Beverages
https://www.momknowsbest.net/	29	8.8K	Washington	$134.00	Good Reputable	Food & Beverages
ultimatecapper.com	33	6K	Utah	100	Good Reputable	Sports
coloradorunnermag.com	45	1.3K	Virginia	100	Good Reputable	Sports
etruesports.com	35	61.5K	California	180	Very Good Healthy	Sports
relevantcodes.com	29	2.1K	Arizona	$31	Very Good Reputable	Information Technology
https://www.mirrorreview.com/	65	47.4K	North Carolina	$ 95.00	Very Good Reputable	Information Technology
https://beginwithjava.com/	21	34.6K	North Carolina	$ 50.00	High traffic to backlink ratio Reputable	Information Technology
https://psbios.com/	38	174K	California	$ 40.00	High traffic to backlink ratio Moderate	Information Technology
Fitcoding.com	26	42.1K	Arizona	$42.95	High traffic to backlink ratio Healthy	Information Technology
https://www.technology.org/	62	86.6K	Saxony	$245.83	Very Good Healthy	Information Technology
theclintoncourier.net	30	5.8K	Texas	100	Good Healthy	Information Technology
https://www.bbntimes.com/	71	126K	California	$211.29	Very Good Healthy	Information Technology
Websauna.org	27	11.7K	Arizona	$45.11	Good Healthy	Information Technology
thebossmagazine.com	49	12.8K	Missouri	$150.00	Very Good Reputable	Information Technology
http://cybersecuritynews.com/	49	18.8K	California	$300.00	Very Good Reputable	Information Technology
https://itsupplychain.com/	39	7.3K	California	$140	Very Good Reputable	Information Technology
https://hackernoon.com/	88	195K	California	$570	Very Good Reputable	Information Technology
Techbullion.com/	66	110.5K		$25	Very Good Healthy	Computer Software & Development
customerservicemanager.com	46	4.7K	Ontario	$230	Good Reputable	Computer Software & Development
garyshood.com	38	2.1K	California	55	Average Reputable	Computer Software & Development
medigy.com	27	1.7K	Saxony	70	Average Healthy	Computer Software & Development
https://metapress.com/	77	29.2K	Oregon	$ 80.00	Good Reputable	Computer Software & Development
feedbuzzard.com	57	10.6K	California	$264	Good Healthy	Computer Software & Development
https://www.indiehackers.com/	55	38.9K Mixed	California	$100	Good Reputable	Computer Software & Development
http://www.programminginsider.com	58	247K	California	$30	Good Healthy	Computer Software & Development
familyfriendlygaming.com	42	3.1K	Missouri	180	Average Reputable	Computer & Video Games
https://lakelandconnect.net/	26	6K	Ontario	$250	Average Healthy	Newspaper
https://www.postandcourier.com/	81	450K	New York	$300.00	Very Good Moderate	Newspaper
https://londonincmagazine.ca/	33	1.8K	California	$100	Good Reputable	Nonprofit Organizations
elsalvadorinfo.net	41	2.4K	California	95	Good Healthy	Nonprofit Organizations
https://haligonia.ca/	37	6.1K	Quebec	$ 130.00	Good Healthy	Nonprofit Organizations
everydaytourist.ca	35	9.1K	New York	$160	Good Healthy	Nonprofit Organizations
https://greenbuildingcanada.ca/	31	12.7K	Michigan	350	Very Good Healthy	Construction & Maintenance
finehomesandliving.com	42	13.3K	New York	150	Very Good Healthy	Construction & Maintenance
decoratoradvice.com	52	39.8K	California	$250	Very Good Healthy	Construction & Maintenance
pushyourdesign.com	25	6.5K	California	$276	Very Good Healthy	Construction & Maintenance
https://www.build-review.com/	37	8.4K	California	$180	Very Good Reputable	Construction & Maintenance
Cytocom.com	23	1.9K	Arizona	$50.00	High traffic to backlink ratio Reputable	Finance
grantford.org	26	2K	Virginia	$134.00	Good Healthy	Finance
https://www.benzinga.com/	88	1.8M	California	$120	Excellent Reputable	Finance
http://thetradable.com	63	210.9K	Netherland	$150	Very Good Reputable	Finance
https://www.investing.com/	91	167M	California	$400	Industry leader Reputable	Finance
https://markets.financialcontent.com/	66	754K	New York	$130	Excellent Healthy	Finance
https://www.streetinsider.com/	83	58.7K	California	$80	Very Good Reputable	Finance
http://www.barchart.com/	62	3.2M	Virginia	$110	Very Good Healthy	Finance
https://kreafolk.com/	37	296k	Ontario	$115.00	Very Good Healthy	Design
stageandcinema.com	44	6.8K	Arizona	100	Good Reputable	Performing Arts
kidzfeed.com	25	1.3K	Virginia	115	Average Healthy	Museums
lawyersinventory.com	23	4.9K	New York	100	Average Healthy	Legal
http://wilddiscs.com	12	148K	California	$65.00	High traffic to backlink ratio Healthy	Sporting Goods
goodordering.com	38	6.9K	Ontario	170	Good Healthy	Sporting Goods
https://findthehomepros.com/	27	3.4K	New Jersey	$50	Good Healthy	Real Estate
thepinnaclelist.com	60	7.5K	California	50	Very Good Healthy	Real Estate
bostonapartments.com	40	2.6K	New York	100	Good Healthy	Real Estate
https://www.kennarealestate.com/	45	8K	-	100	Good Reputable	Real Estate
conversationswithbianca.com	32	13.1K	Michigan	$135	Good Healthy	Music
https://eartothegroundmusic.co	31	1.5K	Florida	95	Good Reputable	Music
https://www.pumpitupmagazine.com/	58	3.1K	North Carolina	271	Good Reputable	Music
http://thatdrop.com	41	1.1K	Arizona	95	Good Reputable	Music
https://bigcartel.com/	90	492K	California	$70	Industry leader Healthy	Music
femfounder.co	37	1.3K	New York	150	Good Moderate	Transportation & Logistics
Wicz.com	79	16.9K	Virginia	$23	Good Healthy	Market Research
https://www.myentertainmentworld.ca/	51	3.6K	Virginia	$ 380.00	Good Reputable	Enterteinment
https://thenewsgod.com/	61	12.6K	Ohio	$115	Good Healthy	Adult
